,equity
2019-02-25,1360.317238402994
2019-02-26,1358.640650133792
2019-02-27,1361.2576157544104
2019-02-28,1361.7585860241857
2019-03-01,1373.2889802273717
2019-03-04,1375.496715478226
2019-03-05,1384.6802388726196
2019-03-06,1380.9957123282375
2019-03-07,1368.7808897360744
2019-03-08,1361.5189075132375
2019-03-11,1372.7464250204089
2019-03-12,1377.961208017995
2019-03-13,1386.3219175371905
2019-03-14,1384.4483357584736
2019-03-15,1383.2930611208055
2019-03-18,1383.3527026760494
2019-03-19,1383.1607269152528
2019-03-20,1380.8473181252377
2019-03-21,1394.7611304660004
2019-03-22,1361.6055417755033
2019-03-25,1361.2055020194912
2019-03-26,1367.9579231620694
2019-03-27,1357.8910561992561
2019-03-28,1361.7644544475472
2019-03-29,1369.5727107479368
2019-04-01,1382.370778837231
2019-04-02,1382.5570892181668
2019-04-03,1387.5881951618467
2019-04-04,1387.9927879498578
2019-04-05,1396.035700341902
2019-04-08,1402.716440601835
2019-04-09,1394.058259434614
2019-04-10,1396.8771802754495
2019-04-11,1399.0951232812022
2019-04-12,1396.7459640962588
2019-04-15,1401.6814736820218
2019-04-16,1403.4284768314358
2019-04-17,1410.6273292194364
2019-04-18,1411.458979738998
2019-04-22,1416.7794407518384
2019-04-23,1422.2373073977801
2019-04-24,1418.9229793631882
2019-04-25,1437.0980531928392
2019-04-26,1441.0172946382206
2019-04-29,1444.2688735586826
2019-04-30,1448.3046660186594
2019-05-01,1435.8107764579274
2019-05-02,1425.962669475793
2019-05-03,1431.0316918776025
2019-05-06,1437.9330227211103
2019-05-07,1417.4918824188337
2019-05-08,1416.0182316238509
2019-05-09,1401.5043913317763
2019-05-10,1392.752607098586
2019-05-13,1392.752607098586
2019-05-14,1392.752607098586
2019-05-15,1392.752607098586
2019-05-16,1395.6118215575507
2019-05-17,1394.2104728224654
2019-05-20,1392.6041495833294
2019-05-21,1391.2238116957562
2019-05-22,1393.924117851152
2019-05-23,1383.7002460051435
2019-05-24,1386.7178232085125
2019-05-28,1380.45087881894
2019-05-29,1371.6355397501038
2019-05-30,1373.4607666093873
2019-05-31,1370.6830781236695
2019-06-03,1365.9401056767756
2019-06-04,1365.9960682008082
2019-06-05,1371.797023974426
2019-06-06,1375.7748786737038
2019-06-07,1381.3850184781622
2019-06-10,1384.5886519565647
